n_mut,obs,freq_act,dens_lib,frac_act,signal_avg,signal_med
1,69,69,0.00877527661198016,1,-0.70030300378682,-0.656527134412034
2,240,236,0.0305227012590614,0.983333333333333,-0.69351018513211,-0.425734034979025
3,594,570,0.075543685616177,0.95959595959596,-0.703806060022031,-0.318561243788964
4,1208,954,0.153630929670609,0.789735099337748,-2.09318574511896,-2.12898786041186
5,1901,1088,0.241765229556149,0.572330352446081,-3.792831683962,-3.76365700911845
6,2090,966,0.26580185679766,0.462200956937799,-4.65307408698783,-4.43350840742612
7,1285,356,0.163423629657891,0.27704280155642,-5.62779847752861,-5.95856510806808
8,471,51,0.059900801220908,0.10828025477707,-6.05304555825513,-6.21095226970237
9,4,0,0.000508711687651024,0,-5.94681559027635,-5.97962672359591
